Country,Global South,Region
Afghanistan,Global South,Europe
Aland Islands,Global North,Europe
Albania,Global North,Europe
Algeria,Global South,Arab States
American Samoa,Global South,Europe
Andorra,Global North,Europe
Angola,Global South,Europe
Anguilla,Global South,South/Latin America
Anonymous Proxy,Unknown,Europe
Antarctica,Global South,Europe
Antigua and Barbuda,Global South,South/Latin America
Argentina,Global South,South/Latin America
Armenia,Global South,Europe
Aruba,Global South,South/Latin America
Asia/Pacific Region,Unknown,Europe
Australia,Global North,Europe
Austria,Global North,Europe
Azerbaijan,Global South,Europe
Bahamas,Global South,South/Latin America
Bahrain,Global South,Arab States
Bangladesh,Global South,Europe
Barbados,Global South,South/Latin America
Belarus,Global South,Europe
Belgium,Global North,Europe
Belize,Global South,South/Latin America
Benin,Global South,Europe
Bermuda,Global North,North America
Bhutan,Global South,Europe
Bolivia,Global South,South/Latin America
Bonaire,Unknown,Europe
Bosnia and Herzegovina,Global North,Europe
Botswana,Global South,Europe
Bouvet Island,Global South,South/Latin America
Brazil,Global South,South/Latin America
British Indian Ocean Territory,Global South,Europe
British Virgin Islands,Global South,South/Latin America
Brunei,Global South,Europe
Bulgaria,Global North,Europe
Burkina Faso,Global South,Europe
Burundi,Global South,Europe
Cabo Verde,Global South,Europe
Cambodia,Global South,Europe
Cameroon,Global South,Europe
Canada,Global North,North America
CAR,Global South,Europe
Caribbean Netherlands,Global South,South/Latin America
Cayman Islands,Global South,South/Latin America
Chad,Global South,Europe
Chile,Global South,South/Latin America
China,Global South,Europe
Christmas Island,Global South,Europe
Cocos (Keeling) Islands,Global South,Europe
Colombia,Global South,South/Latin America
Comoros,Global South,Arab States
Congo,Global South,Europe
Cook Islands,Global South,Europe
Costa Rica,Global South,South/Latin America
Croatia,Global North,Europe
Cuba,Global South,South/Latin America
Curaçao,Unknown,Europe
Cyprus,Global North,Europe
Czechia,Global North,Europe
Denmark,Global North,Europe
Djibouti,Global South,Arab States
Dominica,Global South,South/Latin America
Dominican Republic,Global South,South/Latin America
Ecuador,Global South,South/Latin America
Egypt,Global South,Middle East
El Salvador,Global South,South/Latin America
Equatorial Guinea,Global South,Europe
Eritrea,Global South,Europe
Estonia,Global North,Europe
Eswatini,Global South,Europe
Ethiopia,Global South,Europe
Europe,Unknown,Europe
Faeroe Islands,Global North,Europe
Falkland Islands,Global South,South/Latin America
Fiji,Global South,Europe
Finland,Global North,Europe
France,Global North,Europe
"France, Metropolitan",Global North,Europe
French Guiana,Global South,South/Latin America
French Polynesia,Global South,Europe
Gabon,Global South,Europe
Gambia,Global South,Europe
Georgia,Global South,Europe
Germany,Global North,Europe
Ghana,Global South,Europe
Gibraltar,Global North,Europe
Greece,Global North,Europe
Greenland,Global North,Europe
Grenada,Global South,South/Latin America
Guadeloupe,Global South,South/Latin America
Guam,Global South,Europe
Guatemala,Global South,South/Latin America
Guernsey,Global North,Europe
Guinea,Global South,Europe
Guinea-Bissau,Global South,Europe
Guyana,Global South,South/Latin America
Haiti,Global South,South/Latin America
Heard Island and McDonald Islands,Global South,Europe
Honduras,Global South,South/Latin America
Hong Kong,Global South,Europe
Hungary,Global North,Europe
Iceland,Global North,Europe
India,Global South,Europe
Indonesia,Global South,Europe
Iran,Global South,Middle East
Iraq,Global South,Middle East
Ireland,Global North,Europe
Isle of Man,Global North,Europe
Israel,Global North,Europe
Italy,Global North,Europe
Ivory Coast,Global South,Europe
Jamaica,Global South,South/Latin America
Japan,Global North,Europe
Jersey,Global North,Europe
Jordan,Global South,Middle East
Kazakhstan,Global South,Europe
Kenya,Global South,Europe
Kiribati,Global South,Europe
Kuwait,Global South,Middle East
Kyrgyzstan,Global South,Europe
Laos,Global South,Europe
Latvia,Global North,Europe
Lebanon,Global South,Middle East
Lesotho,Global South,Europe
Liberia,Global South,Europe
Libya,Global South,Middle East
Libyan Arab Jamahiriya,Unknown,Europe
Liechtenstein,Global North,Europe
Lithuania,Global North,Europe
Luxembourg,Global North,Europe
Macedonia,Global North,Europe
Madagascar,Global South,Europe
Malawi,Global South,Europe
Malaysia,Global South,Europe
Maldives,Global South,Europe
Mali,Global South,Europe
Malta,Global North,Europe
Marshall Islands,Global South,Europe
Martinique,Global South,South/Latin America
Mauritania,Global South,Arab States
Mauritius,Global South,Europe
Mayotte,Global South,Europe
Mexico,Global South,South/Latin America
Micronesia,Global South,Europe
Moldova,Global North,Europe
Monaco,Global North,Europe
Mongolia,Global South,Europe
Montenegro,Global North,Europe
Montserrat,Global South,South/Latin America
Morocco,Global South,Arab States
Mozambique,Global South,Europe
Myanmar,Global South,Europe
Namibia,Global South,Europe
Nauru,Global South,Europe
Nepal,Global South,Europe
Netherlands,Global North,Europe
New Caledonia,Global South,Europe
New Zealand,Global North,Europe
Nicaragua,Global South,South/Latin America
Niger,Global South,Europe
Nigeria,Global South,Europe
Niue,Global South,Europe
Norfolk Island,Global South,Europe
North Korea,Global South,Europe
Northern Mariana Islands,Global South,Europe
Norway,Global North,Europe
Oman,Global South,Middle East
Other,Unknown,Europe
Pakistan,Global South,Europe
Palau,Global South,Europe
Palestine,Global South,Arab States
Panama,Global South,South/Latin America
Papua New Guinea,Global South,Europe
Paraguay,Global South,South/Latin America
Peru,Global South,South/Latin America
Philippines,Global South,Europe
Pitcairn Islands,Global South,Europe
Poland,Global North,Europe
Portugal,Global North,Europe
Puerto Rico,Global South,South/Latin America
Qatar,Global South,Middle East
Réunion,Global South,Europe
Romania,Global North,Europe
Russia,Global North,Europe
Rwanda,Global South,Europe
Saint Barthelemy,Global South,South/Latin America
Saint Helena,Global South,Europe
Saint Kitts and Nevis,Global South,South/Latin America
Saint Lucia,Global South,South/Latin America
Saint Martin,Global South,South/Latin America
Saint Pierre and Miquelon,Global North,North America
Saint Vincent and the Grenadines,Global South,South/Latin America
Samoa,Global South,Europe
San Marino,Global North,Europe
Sao Tome and Principe,Global South,Europe
Satellite Provider,Unknown,Europe
Saudi Arabia,Global South,Middle East
Senegal,Global South,Europe
Serbia,Global North,Europe
Seychelles,Global South,Europe
Sierra Leone,Global South,Europe
Singapore,Global North,Europe
Sint Maarten,Unknown,Europe
Slovakia,Global North,Europe
Slovenia,Global North,Europe
Solomon Islands,Global South,Europe
Somalia,Global South,Arab States
South Africa,Global South,Europe
South Georgia and the South Sandwich Islands,Global South,South/Latin America
South Korea,Global North,Europe
South Sudan,Global South,Europe
Spain,Global North,Europe
Sri Lanka,Global South,Europe
Sudan,Global South,Arab States
Suriname,Global South,South/Latin America
Svalbard and Jan Mayen,Global North,Europe
Swaziland,Global South,Europe
Sweden,Global North,Europe
Switzerland,Global North,Europe
Syria,Global South,Europe
Taiwan,Unknown,Europe
Tajikistan,Global South,Europe
Tanzania,Global South,Europe
Thailand,Global South,Europe
Timor-Leste,Global South,Europe
Togo,Global South,Europe
Tokelau,Global South,Europe
Tonga,Global South,Europe
Trinidad and Tobago,Global South,South/Latin America
Tunisia,Global South,Arab States
Turkey,Global North,Europe
Turkmenistan,Global South,Europe
Turks and Caicos Islands,Global South,South/Latin America
Tuvalu,Global South,Europe
UAE,Global South,Middle East
Uganda,Global South,Europe
UK,Global North,Europe
Ukraine,Global South,Europe
Uruguay,Global South,South/Latin America
USA,Global North,North America
USA Minor Outlying Islands,Global South,Europe
Uzbekistan,Global South,Europe
Vanuatu,Global South,Europe
Vatican City,Global North,Europe
Venezuela,Global South,South/Latin America
Vietnam,Global South,Europe
"Virgin Islands, U.S.",Global South,South/Latin America
Wallis and Futuna,Global South,Europe
Western Sahara,Global South,Europe
Yemen,Global South,Middle East
Zambia,Global South,Europe
Zimbabwe,Global South,Europe
